transactionid,saledate,receiptnumber,servicecharge,servicechargevat,transactionexcludevat,servicechargepercent,vatpercent,otheramountdiscount,totalproductamount,totalpayamount
78098,2019-02-13,033022019/130040,4200.0000,420.0000,5600.0000,7.5000,10.0000,0.0000,2.0000,66220.0000
46133,2019-02-13,033022019/130041,45450.0000,4545.0000,60600.0000,7.5000,10.0000,0.0000,15.0000,716595.0000
46134,2019-02-13,033022019/130042,26325.0000,2633.0000,35100.0000,7.5000,10.0000,0.0000,8.0000,415058.0000
46133,2019-02-13,033022019/130041,45450.0000,4545.0000,60600.0000,7.5000,10.0000,0.0000,15.0000,716595.0000
46133,2019-02-13,033022019/130041,45450.0000,4545.0000,60600.0000,7.5000,10.0000,0.0000,15.0000,716595.0000
46136,2019-02-13,033022019/130049,45450.0000,4545.0000,60600.0000,7.5000,10.0000,0.0000,12.0000,716595.0000
14547,2019-02-13,033022019/130001,3600.0000,360.0000,4800.0000,7.5000,10.0000,0.0000,1.0000,56760.0000
78082,2019-02-13,033022019/130007,13575.0000,1358.0000,18100.0000,7.5000,10.0000,0.0000,5.0000,214033.0000
78081,2019-02-13,033022019/130008,9450.0000,945.0000,12600.0000,7.5000,10.0000,0.0000,3.0000,148995.0000
78081,2019-02-13,033022019/130008,9450.0000,945.0000,12600.0000,7.5000,10.0000,0.0000,3.0000,148995.0000
78079,2019-02-13,033022019/130009,3450.0000,345.0000,4600.0000,7.5000,10.0000,0.0000,1.0000,54395.0000
78079,2019-02-13,033022019/130009,3450.0000,345.0000,4600.0000,7.5000,10.0000,0.0000,1.0000,54395.0000
78086,2019-02-13,,2625.0000,263.0000,3500.0000,7.5000,10.0000,0.0000,1.0000,41388.0000
78087,2019-02-13,033022019/130010,9900.0000,990.0000,13200.0000,7.5000,10.0000,0.0000,3.0000,156090.0000
78087,2019-02-13,033022019/130010,12525.0000,1253.0000,16700.0000,7.5000,10.0000,0.0000,4.0000,197478.0000
78080,2019-02-13,033022019/130012,21075.0000,2108.0000,28100.0000,7.5000,10.0000,0.0000,5.0000,332283.0000
46125,2019-02-13,033022019/130013,53475.0000,5348.0000,71300.0000,7.5000,10.0000,0.0000,12.0000,843123.0000
78082,2019-02-13,033022019/130007,13575.0000,1358.0000,18100.0000,7.5000,10.0000,0.0000,5.0000,214033.0000
