SaleNumber,ReceiptNumber,TransactionDate,AmountTransaksi,AmountService,Tax,OtherIncome,SaleDate,OutletCode,OutletName,ShopID
03392019/130031,03392019/130031,09/13/2019 14:11:56,617000,46275.0000,66328.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130032,03392019/130032,09/13/2019 14:14:04,437000,32775.0000,46978.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130033,03392019/130033,09/13/2019 14:17:41,94000,7050.0000,10105.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130034,03392019/130034,09/13/2019 14:22:35,155000,11625.0000,16663.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130035,03392019/130035,09/13/2019 14:24:52,273000,20475.0000,29348.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130036,03392019/130036,09/13/2019 14:26:18,572000,42900.0000,61490.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130037,03392019/130037,09/13/2019 14:27:21,271000,20325.0000,29133.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130038,03392019/130038,09/13/2019 14:33:02,373000,27975.0000,40098.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130039,03392019/130039,09/13/2019 14:35:56,588000,44100.0000,63210.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130040,03392019/130040,09/13/2019 14:47:45,320000,24000.0000,34400.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130041,03392019/130041,09/13/2019 15:00:39,185000,13875.0000,19888.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130042,03392019/130042,09/13/2019 15:11:15,304000,22800.0000,32680.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130043,03392019/130043,09/13/2019 15:23:01,281000,21075.0000,30208.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130044,03392019/130044,09/13/2019 15:47:27,150000,11250.0000,16125.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130045,03392019/130045,09/13/2019 15:48:14,118000,8850.0000,12685.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130046,03392019/130046,09/13/2019 16:04:32,433000,32475.0000,46548.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130047,03392019/130047,09/13/2019 16:05:17,71000,5325.0000,7633.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130048,03392019/130048,09/13/2019 16:10:43,81000,6075.0000,8708.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130049,03392019/130049,09/13/2019 16:12:11,401000,30075.0000,43108.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130050,03392019/130050,09/13/2019 16:20:08,123000,9225.0000,13223.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130051,03392019/130051,09/13/2019 16:43:14,34000,2550.0000,3655.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130052,03392019/130052,09/13/2019 16:47:44,108000,8100.0000,11610.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130053,03392019/130053,09/13/2019 17:07:42,1056000,79200.0000,113520.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130054,03392019/130054,09/13/2019 17:11:56,185000,13875.0000,19888.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130055,03392019/130055,09/13/2019 17:16:34,461000,34575.0000,49558.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130056,03392019/130056,09/13/2019 17:20:03,227000,17025.0000,24403.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130057,03392019/130057,09/13/2019 17:23:59,247000,18525.0000,26553.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130058,03392019/130058,09/13/2019 17:24:11,160000,12000.0000,17200.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130059,03392019/130059,09/13/2019 17:25:15,230000,17250.0000,24725.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130060,03392019/130060,09/13/2019 17:26:55,765000,57375.0000,82238.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130061,03392019/130061,09/13/2019 17:38:10,236000,17700.0000,25370.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130062,03392019/130062,09/13/2019 17:40:05,82000,6150.0000,8815.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130063,03392019/130063,09/13/2019 17:43:01,390000,29250.0000,41925.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130064,03392019/130064,09/13/2019 17:49:31,37000,2775.0000,3978.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130065,03392019/130065,09/13/2019 17:52:50,283000,21225.0000,30423.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130066,03392019/130066,09/13/2019 18:21:18,283000,21225.0000,30423.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130067,03392019/130067,09/13/2019 18:23:10,392000,29400.0000,42140.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130068,03392019/130068,09/13/2019 18:26:37,147000,11025.0000,15803.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130069,03392019/130069,09/13/2019 18:28:49,188000,14100.0000,20210.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130070,03392019/130070,09/13/2019 18:40:18,198000,14850.0000,21285.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130071,03392019/130071,09/13/2019 18:53:36,303000,22725.0000,32573.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130072,03392019/130072,09/13/2019 18:55:40,933000,69975.0000,100298.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130073,03392019/130073,09/13/2019 19:00:16,446000,33450.0000,47945.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130074,03392019/130074,09/13/2019 19:08:10,631000,47325.0000,67833.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130075,03392019/130075,09/13/2019 19:09:46,295000,22125.0000,31713.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130076,03392019/130076,09/13/2019 19:13:20,235000,17625.0000,25263.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130077,03392019/130077,09/13/2019 19:14:42,184000,13800.0000,19780.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130078,03392019/130078,09/13/2019 19:16:59,259000,19425.0000,27843.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130079,03392019/130079,09/13/2019 19:18:50,128000,9600.0000,13760.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130080,03392019/130080,09/13/2019 19:24:44,367000,27525.0000,39453.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130081,03392019/130081,09/13/2019 19:28:40,565000,42375.0000,60738.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130082,03392019/130082,09/13/2019 19:29:45,296000,22200.0000,31820.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130083,03392019/130083,09/13/2019 19:30:58,477000,35775.0000,51278.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130084,03392019/130084,09/13/2019 19:36:50,290000,21750.0000,31175.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130085,03392019/130085,09/13/2019 19:39:38,38000,2850.0000,4085.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130086,03392019/130086,09/13/2019 19:41:06,161000,12075.0000,17308.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130087,03392019/130087,09/13/2019 19:43:27,220000,16500.0000,23650.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130088,03392019/130088,09/13/2019 19:51:02,508000,38100.0000,54610.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130089,03392019/130089,09/13/2019 19:55:30,350000,26250.0000,37625.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130090,03392019/130090,09/13/2019 20:01:57,253000,18975.0000,27198.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130091,03392019/130091,09/13/2019 20:10:39,54000,4050.0000,5805.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130092,03392019/130092,09/13/2019 20:17:31,449000,33675.0000,48268.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130093,03392019/130093,09/13/2019 20:22:18,536000,40200.0000,57620.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130094,03392019/130094,09/13/2019 20:27:06,407000,30525.0000,43753.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130095,03392019/130095,09/13/2019 20:31:38,442000,33150.0000,47515.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130096,03392019/130096,09/13/2019 20:38:28,368000,27600.0000,39560.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130097,03392019/130097,09/13/2019 20:45:12,305000,22875.0000,32788.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130098,03392019/130098,09/13/2019 20:46:09,1320000,99000.0000,141900.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130099,03392019/130099,09/13/2019 21:00:53,116000,8700.0000,12470.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130100,03392019/130100,09/13/2019 21:08:25,194000,14550.0000,20855.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130101,03392019/130101,09/13/2019 21:14:09,228000,17100.0000,24510.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130102,03392019/130102,09/13/2019 21:17:13,820000,61500.0000,88150.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130103,03392019/130103,09/13/2019 21:20:12,531000,39825.0000,57083.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130104,03392019/130104,09/13/2019 21:25:02,1203000,90225.0000,129323.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130105,03392019/130105,09/13/2019 21:26:12,209000,15675.0000,22468.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130106,03392019/130106,09/13/2019 21:31:24,392000,29400.0000,42140.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130107,03392019/130107,09/13/2019 21:36:22,312000,23400.0000,33540.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130108,03392019/130108,09/13/2019 21:39:19,1069000,80175.0000,114918.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130109,03392019/130109,09/13/2019 21:47:50,1099000,82425.0000,118143.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130110,03392019/130110,09/13/2019 21:49:39,195000,14625.0000,20963.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130111,03392019/130111,09/13/2019 21:59:05,102000,7650.0000,10965.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/120001,03392019/120001,09/12/2019 10:05:51,29000,2175.0000,3118.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120002,03392019/120002,09/12/2019 10:09:35,44000,3300.0000,4730.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120003,03392019/120003,09/12/2019 10:32:01,92000,6900.0000,9890.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120004,03392019/120004,09/12/2019 10:43:34,26000,1950.0000,2795.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120005,03392019/120005,09/12/2019 11:20:10,499000,37425.0000,53643.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120006,03392019/120006,09/12/2019 11:23:17,47000,3525.0000,5053.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120007,03392019/120007,09/12/2019 11:34:52,47000,3525.0000,5053.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120008,03392019/120008,09/12/2019 11:42:34,194000,14550.0000,20855.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120009,03392019/120009,09/12/2019 12:09:28,178000,13350.0000,19135.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120010,03392019/120010,09/12/2019 12:12:58,159000,11925.0000,17093.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120011,03392019/120011,09/12/2019 12:27:04,433000,32475.0000,46548.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120012,03392019/120012,09/12/2019 12:31:16,144000,10800.0000,15480.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120013,03392019/120013,09/12/2019 13:01:41,248000,18600.0000,26660.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120014,03392019/120014,09/12/2019 13:02:55,47000,3525.0000,5053.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120015,03392019/120015,09/12/2019 13:26:45,348000,26100.0000,37410.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120016,03392019/120016,09/12/2019 13:30:16,338000,25350.0000,36335.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120017,03392019/120017,09/12/2019 13:45:33,253000,18975.0000,27198.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120018,03392019/120018,09/12/2019 13:54:37,496000,37200.0000,53320.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120019,03392019/120019,09/12/2019 14:18:02,314000,23550.0000,33755.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120020,03392019/120020,09/12/2019 14:48:57,38000,2850.0000,4085.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120021,03392019/120021,09/12/2019 14:53:30,366000,27450.0000,39345.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120022,03392019/120022,09/12/2019 15:06:14,104000,7800.0000,11180.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120023,03392019/120023,09/12/2019 15:08:52,26000,1950.0000,2795.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120024,03392019/120024,09/12/2019 15:12:36,112000,8400.0000,12040.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120025,03392019/120025,09/12/2019 15:50:23,446000,33450.0000,47945.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120026,03392019/120026,09/12/2019 15:51:25,150000,11250.0000,16125.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120027,03392019/120027,09/12/2019 16:03:15,420000,31500.0000,45150.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120028,03392019/120028,09/12/2019 16:39:54,204000,15300.0000,21930.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120029,03392019/120029,09/12/2019 16:44:41,375000,28125.0000,40313.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120030,03392019/120030,09/12/2019 16:52:20,229000,17175.0000,24618.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120031,03392019/120031,09/12/2019 16:55:11,1054000,79050.0000,113305.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120032,03392019/120032,09/12/2019 17:23:08,298000,22350.0000,32035.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120033,03392019/120033,09/12/2019 17:26:27,500000,37500.0000,53750.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120034,03392019/120034,09/12/2019 17:28:10,390000,29250.0000,41925.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120035,03392019/120035,09/12/2019 17:29:45,194000,14550.0000,20855.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120036,03392019/120036,09/12/2019 17:32:07,166000,12450.0000,17845.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120037,03392019/120037,09/12/2019 18:02:06,246000,18450.0000,26445.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120038,03392019/120038,09/12/2019 18:09:36,316000,23700.0000,33970.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120039,03392019/120039,09/12/2019 18:16:09,280000,21000.0000,30100.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120040,03392019/120040,09/12/2019 18:20:09,103000,7725.0000,11073.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120041,03392019/120041,09/12/2019 18:34:41,399000,29925.0000,42893.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120042,03392019/120042,09/12/2019 18:38:29,166000,12450.0000,17845.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120043,03392019/120043,09/12/2019 18:39:48,633000,47475.0000,68048.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120044,03392019/120044,09/12/2019 18:43:52,381000,28575.0000,40958.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120045,03392019/120045,09/12/2019 18:52:29,215000,16125.0000,23113.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120046,03392019/120046,09/12/2019 19:01:37,271000,20325.0000,29133.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120047,03392019/120047,09/12/2019 19:03:06,396000,29700.0000,42570.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120048,03392019/120048,09/12/2019 19:09:33,120000,9000.0000,12900.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120049,03392019/120049,09/12/2019 19:19:08,462000,34650.0000,49665.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120050,03392019/120050,09/12/2019 19:19:59,83000,6225.0000,8923.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120051,03392019/120051,09/12/2019 19:21:06,142000,10650.0000,15265.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120052,03392019/120052,09/12/2019 19:27:49,338000,25350.0000,36335.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120053,03392019/120053,09/12/2019 19:46:15,434000,32550.0000,46655.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120054,03392019/120054,09/12/2019 19:48:30,173000,12975.0000,18598.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120055,03392019/120055,09/12/2019 19:49:56,312000,23400.0000,33540.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120056,03392019/120056,09/12/2019 19:52:56,544000,40800.0000,58480.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120057,03392019/120057,09/12/2019 19:54:31,289000,21675.0000,31068.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120058,03392019/120058,09/12/2019 20:04:02,208000,15600.0000,22360.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120059,03392019/120059,09/12/2019 20:05:53,165000,12375.0000,17738.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120060,03392019/120060,09/12/2019 20:10:20,346000,25950.0000,37195.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120061,03392019/120061,09/12/2019 20:12:55,142000,10650.0000,15265.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120062,03392019/120062,09/12/2019 20:29:45,274000,20550.0000,29455.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120063,03392019/120063,09/12/2019 20:31:57,333000,24975.0000,35798.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120064,03392019/120064,09/12/2019 20:33:48,189000,14175.0000,20318.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120065,03392019/120065,09/12/2019 20:34:51,391000,29325.0000,42033.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120066,03392019/120066,09/12/2019 20:37:42,263000,19725.0000,28273.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120067,03392019/120067,09/12/2019 20:46:41,430000,32250.0000,46225.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120068,03392019/120068,09/12/2019 20:48:45,403000,30225.0000,43323.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120069,03392019/120069,09/12/2019 20:54:29,1090000,81750.0000,117175.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120070,03392019/120070,09/12/2019 20:55:43,440000,33000.0000,47300.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120071,03392019/120071,09/12/2019 21:00:12,494000,37050.0000,53105.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120072,03392019/120072,09/12/2019 21:06:51,484000,36300.0000,52030.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120073,03392019/120073,09/12/2019 21:13:01,386000,28950.0000,41495.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120074,03392019/120074,09/12/2019 21:13:49,1365000,102375.0000,146738.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120075,03392019/120075,09/12/2019 21:14:41,276000,20700.0000,29670.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120076,03392019/120076,09/12/2019 21:18:44,653000,48975.0000,70198.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120077,03392019/120077,09/12/2019 21:19:29,164000,12300.0000,17630.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120078,03392019/120078,09/12/2019 21:22:29,692000,51900.0000,74390.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120079,03392019/120079,09/12/2019 21:23:22,284000,21300.0000,30530.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120080,03392019/120080,09/12/2019 21:36:12,457000,34275.0000,49128.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120081,03392019/120081,09/12/2019 21:38:10,922000,69150.0000,99115.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120082,03392019/120082,09/12/2019 21:45:45,461000,34575.0000,49558.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120083,03392019/120083,09/12/2019 21:46:50,265000,19875.0000,28488.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120084,03392019/120084,09/12/2019 21:47:49,1253000,93975.0000,134698.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/120085,03392019/120085,09/12/2019 21:52:32,422000,31650.0000,45365.000000,0.0000,2019-09-12,033,[PLB]ST PALEMBANG,8
03392019/110001,03392019/110001,09/11/2019 10:11:44,118000,8850.0000,12685.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110002,03392019/110002,09/11/2019 10:13:21,117000,8775.0000,12578.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110003,03392019/110003,09/11/2019 11:01:06,64000,4800.0000,6880.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110004,03392019/110004,09/11/2019 11:11:15,320000,24000.0000,34400.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110005,03392019/110005,09/11/2019 11:26:07,127000,9525.0000,13653.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110006,03392019/110006,09/11/2019 11:37:29,240000,18000.0000,25800.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110007,03392019/110007,09/11/2019 11:59:20,221000,16575.0000,23758.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110008,03392019/110008,09/11/2019 12:13:35,54000,4050.0000,5805.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110009,03392019/110009,09/11/2019 12:54:39,235000,17625.0000,25263.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110010,03392019/110010,09/11/2019 13:01:21,117000,8775.0000,12578.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110011,03392019/110011,09/11/2019 13:04:00,103000,7725.0000,11073.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110012,03392019/110012,09/11/2019 13:05:46,308000,23100.0000,33110.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110013,03392019/110013,09/11/2019 13:10:25,425000,31875.0000,45688.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110014,03392019/110014,09/11/2019 13:16:31,678000,50850.0000,72885.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110015,03392019/110015,09/11/2019 13:17:59,203000,15225.0000,21823.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110016,03392019/110016,09/11/2019 13:20:04,202000,15150.0000,21715.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110017,03392019/110017,09/11/2019 13:32:42,147000,11025.0000,15803.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110018,03392019/110018,09/11/2019 13:35:01,583000,43725.0000,62673.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110019,03392019/110019,09/11/2019 13:35:53,466000,34950.0000,50095.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110020,03392019/110020,09/11/2019 13:38:54,335000,25125.0000,36013.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110021,03392019/110021,09/11/2019 13:39:53,216000,16200.0000,23220.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110022,03392019/110022,09/11/2019 13:41:19,209000,15675.0000,22468.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110023,03392019/110023,09/11/2019 13:49:03,436000,32700.0000,46870.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110024,03392019/110024,09/11/2019 13:51:34,387000,29025.0000,41603.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
