SaleNumber,ReceiptNumber,TransactionDate,AmountTransaksi,AmountService,Tax,OtherIncome,SaleDate,OutletCode,OutletName,ShopID
03392019/140038,03392019/140038,09/14/2019 14:53:02,227000,17025.0000,24403.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140039,03392019/140039,09/14/2019 14:55:52,326000,24450.0000,35045.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140040,03392019/140040,09/14/2019 15:03:12,281000,21075.0000,30208.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140041,03392019/140041,09/14/2019 15:18:01,269000,20175.0000,28918.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140042,03392019/140042,09/14/2019 15:24:38,236000,17700.0000,25370.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140043,03392019/140043,09/14/2019 15:27:57,47000,3525.0000,5053.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140044,03392019/140044,09/14/2019 15:29:37,378000,28350.0000,40635.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140045,03392019/140045,09/14/2019 15:37:22,354000,26550.0000,38055.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140046,03392019/140046,09/14/2019 15:38:00,102000,7650.0000,10965.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140047,03392019/140047,09/14/2019 15:48:57,197000,14775.0000,21178.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140048,03392019/140048,09/14/2019 16:04:45,138000,10350.0000,14835.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140049,03392019/140049,09/14/2019 16:05:36,364000,27300.0000,39130.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140050,03392019/140050,09/14/2019 16:23:44,141000,10575.0000,15158.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140051,03392019/140051,09/14/2019 16:33:02,276000,20700.0000,29670.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140052,03392019/140052,09/14/2019 16:33:41,58000,4350.0000,6235.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140053,03392019/140053,09/14/2019 16:37:22,412000,30900.0000,44290.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140054,03392019/140054,09/14/2019 16:49:38,61000,4575.0000,6558.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140055,03392019/140055,09/14/2019 16:50:48,119000,8925.0000,12793.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140056,03392019/140056,09/14/2019 16:51:32,137000,10275.0000,14728.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140057,03392019/140057,09/14/2019 16:55:12,491000,36825.0000,52783.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140058,03392019/140058,09/14/2019 17:05:47,366000,27450.0000,39345.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140059,03392019/140059,09/14/2019 17:06:38,288000,21600.0000,30960.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140060,03392019/140060,09/14/2019 17:07:26,376000,28200.0000,40420.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140061,03392019/140061,09/14/2019 17:16:28,107000,8025.0000,11503.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140062,03392019/140062,09/14/2019 17:26:32,347000,26025.0000,37303.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140063,03392019/140063,09/14/2019 17:27:41,498000,37350.0000,53535.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140064,03392019/140064,09/14/2019 17:29:42,502000,37650.0000,53965.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140065,03392019/140065,09/14/2019 17:32:08,494000,37050.0000,53105.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140066,03392019/140066,09/14/2019 17:33:24,380000,28500.0000,40850.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140067,03392019/140067,09/14/2019 17:48:23,1825000,136875.0000,196188.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140068,03392019/140068,09/14/2019 17:50:29,389000,29175.0000,41818.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140069,03392019/140069,09/14/2019 17:54:38,618000,46350.0000,66435.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140070,03392019/140070,09/14/2019 17:56:03,206000,15450.0000,22145.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140071,03392019/140071,09/14/2019 17:56:44,291000,21825.0000,31283.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140072,03392019/140072,09/14/2019 18:03:00,340000,25500.0000,36550.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140073,03392019/140073,09/14/2019 18:04:18,152000,11400.0000,16340.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
